n	k	d	fom	l	m	A	B	wt	fam	C	D
960	300	290	26281.2500	20	24	x^0*y^0+x^0*y^22+x^5*y^0+x^5*y^22	x^0*y^0+x^0*y^20+x^10*y^0+x^10*y^20	8	css		
828	300	267	25829.3478	23	18	x^0*y^0+x^0*y^12+x^15*y^0+x^15*y^12	x^0*y^0+x^0*y^6+x^7*y^0+x^7*y^6	8	css		
840	300	266	25270.0000	20	21	x^0*y^0+x^0*y^15+x^15*y^0+x^15*y^15	x^0*y^0+x^0*y^9+x^10*y^0+x^10*y^9	8	css		
588	300	199	20204.5918	6	49	x^0*y^0+x^0*y^37+x^3*y^0+x^3*y^37		4	css		
540	300	190	20055.5556	18	15	x^0*y^0+x^0*y^10+x^6*y^0+x^6*y^10	x^0*y^0+x^0*y^5+x^12*y^0+x^12*y^5	8	css		
580	300	193	19266.7241	29	10	x^0*y^0+x^0*y^5+x^13*y^0+x^13*y^5		4	css		
840	296	270	25688.5714	12	35	x^0*y^0+x^0*y^2+x^8*y^0+x^8*y^2	x^0*y^0+x^0*y^4+x^4*y^0+x^4*y^4	8	css		
576	296	198	20146.5000	8	36	x^0*y^0+x^0*y^7+x^4*y^0+x^4*y^7		4	css		
846	294	270	25334.0426	9	47	x^0*y^0+x^0*y^8+x^3*y^0+x^3*y^8	x^0*y^0+x^0*y^16+x^6*y^0+x^6*y^16	8	css		
798	294	257	24333.8421	21	19	x^0*y^0+x^0*y^16+x^14*y^0+x^14*y^16	x^0*y^0+x^0*y^13+x^7*y^0+x^7*y^13	8	css		
504	294	190	21058.3333	42	6	x^0*y^0+x^0*y^1+x^21*y^0+x^21*y^1		4	css		
810	290	264	24952.8889	15	27	x^0*y^0+x^0*y^19+x^10*y^0+x^10*y^19	x^0*y^0+x^0*y^11+x^5*y^0+x^5*y^11	8	css		
960	288	294	25930.8000	30	16	x^0*y^0+x^0*y^12+x^16*y^0+x^16*y^12	x^0*y^0+x^0*y^8+x^2*y^0+x^2*y^8	8	css		
936	288	286	25168.0000	12	39	x^0*y^0+x^0*y^24+x^3*y^0+x^3*y^24	x^0*y^0+x^0*y^9+x^6*y^0+x^6*y^9	8	css		
384	288	182	24843.0000	32	6	x^0*y^0+x^0*y^3+x^16*y^0+x^16*y^3		4	css		
792	288	260	24581.8182	9	44	x^0*y^0+x^0*y^38+x^6*y^0+x^6*y^38	x^0*y^0+x^0*y^32+x^3*y^0+x^3*y^32	8	css		
864	288	271	24480.3333	54	8	x^0*y^0+x^0*y^2+x^30*y^0+x^30*y^2	x^0*y^0+x^0*y^4+x^6*y^0+x^6*y^4	8	css		
828	288	263	24058.7826	46	9	x^0*y^0+x^0*y^6+x^37*y^0+x^37*y^6	x^0*y^0+x^0*y^3+x^28*y^0+x^28*y^3	8	css		
576	288	211	22260.5000	12	24	x^0*y^0+x^0*y^18+x^4*y^0+x^4*y^18	x^0*y^0+x^0*y^12+x^8*y^0+x^8*y^12	8	css		
720	288	235	22090.0000	60	6	x^0*y^0+x^0*y^2+x^54*y^0+x^54*y^2	x^0*y^0+x^0*y^4+x^48*y^0+x^48*y^4	8	css		
672	288	224	21504.0000	24	14	x^0*y^0+x^0*y^2+x^16*y^0+x^16*y^2	x^0*y^0+x^0*y^4+x^8*y^0+x^8*y^4	8	css		
648	288	216	20736.0000	54	6	x^0*y^0+x^0*y^4+x^45*y^0+x^45*y^4	x^0*y^0+x^0*y^2+x^36*y^0+x^36*y^2	8	css		
480	288	184	20313.6000	8	30	x^0*y^0+x^0*y^6+x^4*y^0+x^4*y^6		4	css		
432	288	174	20184.0000	36	6	x^0*y^0+x^0*y^3+x^12*y^0+x^12*y^3		4	css		
512	288	185	19251.5625	8	32	x^0*y^0+x^0*y^4+x^4*y^0+x^4*y^4		4	css		
528	288	185	18668.1818	8	33	x^0*y^0+x^0*y^12+x^4*y^0+x^4*y^12		4	css		
544	288	187	18513.0000	8	34	x^0*y^0+x^0*y^26+x^4*y^0+x^4*y^26		4	css		
540	288	186	18451.2000	45	6	x^0*y^0+x^0*y^3+x^6*y^0+x^6*y^3		4	css		
564	288	190	18434.0426	6	47	x^0*y^0+x^0*y^22+x^3*y^0+x^3*y^22		4	css		
560	288	188	18176.9143	35	8	x^0*y^0+x^0*y^4+x^1*y^0+x^1*y^4		4	css		
702	286	234	22308.0000	9	39	x^0*y^0+x^0*y^13+x^5*y^0+x^5*y^13	x^0*y^0+x^0*y^26+x^1*y^0+x^1*y^26	8	css		
810	282	253	22284.6148	45	9	x^0*y^0+x^0*y^6+x^14*y^0+x^14*y^6	x^0*y^0+x^0*y^3+x^28*y^0+x^28*y^3	8	css		
552	282	186	17674.0435	46	6	x^0*y^0+x^0*y^3+x^21*y^0+x^21*y^3		4	css		
1000	280	302	25537.1200	25	20	x^0*y^0+x^0*y^15+x^21*y^0+x^21*y^15	x^0*y^0+x^0*y^10+x^17*y^0+x^17*y^10	8	css		
952	280	286	24057.6471	17	28	x^0*y^0+x^0*y^21+x^3*y^0+x^3*y^21	x^0*y^0+x^0*y^14+x^6*y^0+x^6*y^14	8	css		
792	280	260	23898.9899	12	33	x^0*y^0+x^0*y^25+x^4*y^0+x^4*y^25	x^0*y^0+x^0*y^17+x^8*y^0+x^8*y^17	8	css		
880	280	266	22513.2727	11	40	x^0*y^0+x^0*y^30+x^6*y^0+x^6*y^30	x^0*y^0+x^0*y^20+x^1*y^0+x^1*y^20	8	css		
720	280	235	21476.3889	6	60	x^0*y^0+x^0*y^35+x^4*y^0+x^4*y^35	x^0*y^0+x^0*y^10+x^2*y^0+x^2*y^10	8	css		
784	280	243	21088.9286	7	56	x^0*y^0+x^0*y^14+x^2*y^0+x^2*y^14	x^0*y^0+x^0*y^28+x^4*y^0+x^4*y^28	8	css		
756	280	238	20979.2593	18	21	x^0*y^0+x^0*y^7+x^17*y^0+x^17*y^7	x^0*y^0+x^0*y^14+x^16*y^0+x^16*y^14	8	css		
672	280	220	20166.6667	6	56	x^0*y^0+x^0*y^21+x^4*y^0+x^4*y^21	x^0*y^0+x^0*y^42+x^2*y^0+x^2*y^42	8	css		
420	280	171	19494.0000	21	10	x^0*y^0+x^0*y^5+x^7*y^0+x^7*y^5		4	css		
448	280	171	18275.6250	4	56	x^0*y^0+x^0*y^14+x^2*y^0+x^2*y^14		4	css		
480	280	175	17864.5833	60	4	x^0*y^0+x^0*y^2+x^10*y^0+x^10*y^2		4	css		
520	280	176	16679.3846	13	20	x^0*y^0+x^0*y^10+x^2*y^0+x^2*y^10		4	css		
792	276	256	22838.3030	9	44	x^0*y^0+x^0*y^5+x^3*y^0+x^3*y^5	x^0*y^0+x^0*y^10+x^6*y^0+x^6*y^10	8	css		
756	276	240	21028.5714	42	9	x^0*y^0+x^0*y^3+x^16*y^0+x^16*y^3	x^0*y^0+x^0*y^6+x^32*y^0+x^32*y^6	8	css		
460	276	180	19440.0000	5	46	x^0*y^0+x^0*y^23+x^3*y^0+x^3*y^23		4	css		
528	276	184	17697.4545	44	6	x^0*y^0+x^0*y^3+x^42*y^0+x^42*y^3		4	css		
540	276	184	17304.1778	6	45	x^0*y^0+x^0*y^43+x^3*y^0+x^3*y^43		4	css		
992	272	297	24186.3387	16	31	x^0*y^0+x^0*y^19+x^4*y^0+x^4*y^19	x^0*y^0+x^0*y^7+x^8*y^0+x^8*y^7	8	css		
768	272	247	21607.3542	12	32	x^0*y^0+x^0*y^17+x^8*y^0+x^8*y^17	x^0*y^0+x^0*y^2+x^4*y^0+x^4*y^2	8	css		
720	272	235	20862.7778	12	30	x^0*y^0+x^0*y^28+x^4*y^0+x^4*y^28	x^0*y^0+x^0*y^26+x^8*y^0+x^8*y^26	8	css		
408	272	163	17712.6667	51	4	x^0*y^0+x^0*y^2+x^34*y^0+x^34*y^2		4	css		
528	272	179	16505.9697	33	8	x^0*y^0+x^0*y^4+x^13*y^0+x^13*y^4		4	css		
990	270	294	23573.4545	45	11	x^0*y^0+x^0*y^5+x^36*y^0+x^36*y^5	x^0*y^0+x^0*y^10+x^27*y^0+x^27*y^10	8	css		
774	270	245	20938.9535	9	43	x^0*y^0+x^0*y^3+x^6*y^0+x^6*y^3	x^0*y^0+x^0*y^6+x^3*y^0+x^3*y^6	8	css		
750	270	240	20736.0000	25	15	x^0*y^0+x^0*y^10+x^19*y^0+x^19*y^10	x^0*y^0+x^0*y^5+x^13*y^0+x^13*y^5	8	css		
702	270	225	19471.1538	13	27	x^0*y^0+x^0*y^9+x^2*y^0+x^2*y^9	x^0*y^0+x^0*y^18+x^4*y^0+x^4*y^18	8	css		
630	270	209	18720.4286	9	35	x^0*y^0+x^0*y^25+x^3*y^0+x^3*y^25	x^0*y^0+x^0*y^15+x^6*y^0+x^6*y^15	8	css		
